"","Sensor","last_name","first_name","date","type","position","feature_distance","feature_d_speed_0_5","feature_d_speed_5_10","feature_d_speed_10_15","feature_d_speed_15_21","feature_d_speed_21_24","feature_d_speed_24_30","feature_d_speed_over30","feature_hid_d_15","feature_hid_d_21","feature_acc_3mss","feature_dec_3mss","feature_acc_3.5mss","feature_dec_3.5mss","feature_acc_4mss","feature_dec_4mss","feature_sprint_over24","feature_avg_speed","feature_max_speed","feature_max_acc"
"26","27","SCHWEGLER","CHRISTIAN",2019-08-01 16:00:01,"game","right back",9.94,2.66,3.46,2.42,1.03,0.17,0.16,0.03,1.37,0.36,101,117,49,64,24,37,14,6.07,33.09,5.43
"27","2","KAKABADZE","OTAR",2019-09-01 13:58:21,"game","right back",7.32,1.63,2.4,1.77,1.18,0.26,0.07,0,1.5,0.33,47,54,20,32,10,15,6,6.7,27.96,4.78
"28","4","KNEZEVIC","STEFAN",2019-09-01 13:58:21,"game","center back",10.14,2.95,3.55,2.63,0.83,0.12,0.05,0,0.99,0.17,79,106,35,58,9,29,7,5.73,28.47,5.07
"29","5","ALVES","LUCAS",2019-09-01 13:58:21,"game","center back",9.14,2.89,3.51,1.76,0.76,0.15,0.07,0,0.97,0.22,87,91,37,44,17,20,7,5.14,28.35,4.95
"30","7","IBRAH","NDIAYE",2019-09-01 13:58:21,"game","left forward",11.6,2.54,3.23,3.28,1.71,0.4,0.35,0.09,2.52,0.83,121,110,61,69,25,40,27,6.58,32.28,5.42
"31","9","MARGIOTTA","F",2019-09-01 13:58:21,"game","ran center",8.08,1.86,2.35,2.26,1.31,0.22,0.07,0,1.59,0.29,64,56,21,33,6,16,11,6.51,26.43,4.88
"32","10","ELEKE","BLESSING",2019-09-01 13:58:21,"game","center forward",3.96,1.37,1.3,0.74,0.36,0.12,0.08,0,0.55,0.19,28,38,18,24,6,6,10,5.84,29.63,4.75
"33","11","SCHURPF","PASCA",2019-09-01 13:58:21,"game","left forward",11.65,2.51,3.99,2.98,1.62,0.38,0.18,0,2.15,0.55,83,114,41,62,16,35,12,6.61,29.15,5.31
"34","12","SIDLER","SYLVAN",2019-09-01 13:58:21,"game","left back",0.26,0.13,0.08,0.03,0.01,0,0,0,0.01,0,5,2,3,3,1,2,0,4.21,21.41,5.07
"35","13","NDENGE","TSIY",2019-09-01 13:58:21,"game","center midfield",3.23,0.83,0.84,1,0.43,0.1,0.04,0,0.55,0.13,14,21,9,7,10,3,3,6.06,27.42,5.36
"36","14","VOCA","IDRIZ",2019-09-01 13:58:21,"game","center midfield",11.41,2.74,3.44,3.19,1.75,0.2,0.1,0,2.02,0.29,47,73,10,33,8,17,4,6.53,27.89,5.07
"37","15","SCHULZ","MARVIN",2019-09-01 13:58:21,"game","center midfield",10.88,2.52,3.72,2.94,1.31,0.26,0.12,0,1.68,0.38,53,55,23,31,12,12,12,6.14,27.52,4.58
"38","17","GRETHER","SIMON",2019-09-01 13:58:21,"game","right back",10.21,2.8,3.61,2.37,1.08,0.23,0.12,0,1.4,0.34,90,101,30,51,8,26,11,5.74,27.37,5.24
"39","27","SCHWEGLER","CHRISTIAN",2019-09-01 13:58:21,"game","right back",9.79,2.84,2.93,2.26,1.05,0.28,0.32,0.11,1.73,0.7,119,107,62,74,28,45,24,5.67,34.45,5.53
"40","3","CIRKOVIC","LAZAR",2019-12-01 15:00:58,"game","center back",7.66,1.99,3.02,1.64,0.82,0.13,0.07,0,1,0.2,36,51,16,32,3,15,4,5.7,29.12,4.74
"41","4","KNEZEVIC","STEFAN",2019-12-01 15:00:58,"game","center back",10.55,2.66,3.89,2.67,0.98,0.19,0.16,0,1.31,0.35,81,97,40,54,16,29,14,6.05,28.21,4.79
"42","5","ALVES","LUCAS",2019-12-01 15:00:58,"game","center back",9.39,2.7,3.68,1.99,0.83,0.12,0.08,0,1.01,0.2,61,69,28,42,13,13,7,5.38,29.66,5.14
"43","7","IBRAH","NDIAYE",2019-12-01 15:00:58,"game","left forward",9.99,2.15,2.69,2.86,1.85,0.23,0.19,0.02,2.25,0.43,106,123,48,66,14,33,13,6.49,31.04,5.19
"44","9","MARGIOTTA","F",2019-12-01 15:00:58,"game","ran center",0.46,0.2,0.13,0.09,0.03,0,0,0,0.03,0,1,5,1,2,0,0,0,4.73,20.41,3.82
"45","11","SCHURPF","PASCA",2019-12-01 15:00:58,"game","left forward",10.71,2.84,3.01,2.53,1.68,0.39,0.24,0.02,2.3,0.64,90,134,45,79,18,47,15,6.1,30.86,5.3
"46","12","SIDLER","SYLVAN",2019-12-01 15:00:58,"game","left back",10.48,2.86,3.23,2.92,1.21,0.17,0.08,0,1.44,0.25,68,121,17,68,5,29,12,5.97,29.23,4.95
"47","14","VOCA","IDRIZ",2019-12-01 15:00:58,"game","center midfield",11.08,2.53,3.2,2.97,1.84,0.38,0.16,0,2.35,0.54,90,136,35,64,15,39,18,6.58,29.75,5.86
"48","17","GRETHER","SIMON",2019-12-01 15:00:58,"game","right back",9.97,2.85,2.9,2.25,1.35,0.36,0.23,0.02,1.95,0.61,79,76,30,46,10,26,14,5.72,30.89,4.71
"49","20","DEMHASAJ","MIMI",2019-12-01 15:00:58,"game","center forward",1.6,0.58,0.39,0.41,0.15,0.06,0.02,0,0.22,0.08,7,11,3,6,0,0,3,5.14,25.76,3.79
"50","21","MALES","DARIAN",2019-12-01 15:00:58,"game","center forward",11,2.48,3.18,2.92,1.88,0.32,0.22,0,2.38,0.53,76,100,38,75,17,45,16,6.3,28.78,4.9
"51","23","MISTVAFOVIC","DAVID",2019-12-01 15:00:58,"game","center back",10.68,2.58,3.72,2.88,1.15,0.19,0.15,0,1.48,0.34,65,111,38,51,8,25,10,6.1,30.13,5.47
